name,state,pop2000,pop2010,pop2017,pop_change,poverty,homeownership,multi_unit,unemployment_rate,metro,median_edu,per_capita_income,median_hh_income,smoking_ban
Alamance County,North Carolina,130800,151131,162391,5.16,17.6,68.1,17.1,4.3,yes,some_college,25374.9,44281,none
Alexander County,North Carolina,33603,37198,37286,0.53,14.7,79.9,2.2,3.67,yes,hs_diploma,22385.82,44523,none
Alleghany County,North Carolina,10677,11155,11031,1.02,21,74,6.2,5.16,no,hs_diploma,21280.18,38944,none
Anson County,North Carolina,25275,26948,24991,-3.79,22.7,71,4.9,5.31,no,hs_diploma,19798.37,38123,none
Ashe County,North Carolina,24384,27281,26957,0.25,19.4,79.2,4.4,4.18,no,some_college,24350,40293,none
Avery County,North Carolina,17167,17797,17536,-0.39,14.7,72.8,18.1,4.35,no,some_college,26362.67,37109,none
Beaufort County,North Carolina,44958,47759,47088,-0.64,19.1,73.4,9.2,5.13,no,some_college,23442.11,41101,NA
Bertie County,North Carolina,19773,21282,19224,-5.53,22,76.9,2.2,6.08,no,hs_diploma,19123.28,31287,none
Bladen County,North Carolina,32278,35190,33478,-3.53,24.5,69,5.5,5.97,no,hs_diploma,20570.82,32396,none
Brunswick County,North Carolina,73143,107431,130897,13.82,14.1,77.5,9.3,5.66,yes,some_college,29150.66,51164,none
Buncombe County,North Carolina,206330,238318,257607,4.32,13.2,67.6,16.8,3.49,yes,some_college,29214.59,48464,none
Burke County,North Carolina,89148,90912,89293,0.17,19.3,74.1,9.1,4.28,yes,some_college,21543.78,40854,none
Cabarrus County,North Carolina,131063,178011,206872,10.53,11.5,73.3,12.9,4.16,yes,some_college,28506.52,60716,none
Caldwell County,North Carolina,77415,83029,81981,-0.07,16.4,75.6,9.4,4.52,yes,hs_diploma,21558.57,40735,none
Camden County,North Carolina,6885,9980,10581,4.64,9,85.1,1.3,4.47,no,some_college,27805.9,68327,NA
Carteret County,North Carolina,59383,66469,68881,0.72,12.5,73.5,17.9,4.5,no,some_college,30886.22,51584,none
Caswell County,North Carolina,23501,23719,22646,-1.95,21.3,75.2,3.4,4.86,no,hs_diploma,22078.99,39428,none
Catawba County,North Carolina,141685,154358,157974,1.83,14.2,71.8,16,4.21,yes,some_college,25779.22,48649,none
Chatham County,North Carolina,49329,63505,71472,9.43,13.3,79.1,7.1,3.88,yes,some_college,36372.92,59684,none
Cherokee County,North Carolina,24298,27444,28087,3.56,16.8,83.2,4.3,5.07,no,some_college,20278.84,38115,none
Chowan County,North Carolina,14526,14793,14105,-3.98,22.8,68.4,10.2,5.47,no,hs_diploma,23092.89,41979,none
Clay County,North Carolina,8775,10587,11074,4.35,17.5,83.3,4.2,5.03,no,some_college,25969.34,37070,none
Cleveland County,North Carolina,96287,98078,97334,0.47,19.9,68.9,10.4,4.72,no,hs_diploma,21131.35,40002,none
Columbus County,North Carolina,54749,58098,55936,-2.02,23.6,72,5.8,5.58,no,hs_diploma,22483.26,36261,none
Craven County,North Carolina,91436,103505,102578,-1.66,15.4,63.5,15.8,4.74,yes,some_college,26911.98,49391,none
Cumberland County,North Carolina,302963,319431,332546,-0.22,18.2,58.4,20.2,5.75,yes,some_college,22989.41,44737,none
Currituck County,North Carolina,18190,23547,26331,8.5,9.1,82.3,1.8,4.46,yes,some_college,29454.09,65758,none
Dare County,North Carolina,29967,33920,36099,3.58,8.9,71.3,10,5.95,no,some_college,30793.07,55640,none
Davidson County,North Carolina,147246,162878,165466,1.27,15.8,73.2,10.4,4.35,yes,hs_diploma,24135.6,45806,none
Davie County,North Carolina,34835,41240,42456,2.44,14,83.5,5,4.04,yes,some_college,28674.23,53493,none
Duplin County,North Carolina,49063,58505,59039,-0.68,26.3,70.6,5.8,4.93,no,hs_diploma,17995.94,36679,none
Durham County,North Carolina,223314,267587,311640,7.85,16.4,55.6,35,4.08,yes,some_college,33971.31,56393,none
Edgecombe County,North Carolina,55606,56552,52747,-4.88,24.6,62.9,14,7.79,yes,hs_diploma,18895.56,32929,none
Forsyth County,North Carolina,306067,350670,376320,4.24,18.7,65.9,25.5,4.43,yes,some_college,28725.51,48369,none
Franklin County,North Carolina,47260,60619,66168,6.54,16.4,77.8,3.2,4.67,yes,some_college,23741.41,48344,partial
Gaston County,North Carolina,190365,206086,220182,5.21,16.5,69.5,12.3,4.62,yes,some_college,24158.78,46626,none
Gates County,North Carolina,10516,12197,11544,-1.35,12.4,81.6,0,4.52,yes,some_college,24216.15,52481,none
Graham County,North Carolina,7993,8861,8541,-2.11,19,77.9,5.5,6.81,no,hs_diploma,17886.38,36030,none
Granville County,North Carolina,48498,59916,59557,3.01,14.3,75.8,9,3.87,no,some_college,24941.6,52089,none
Greene County,North Carolina,18974,21362,21015,-0.22,25.8,70.3,3.4,4.51,no,hs_diploma,19505.08,36989,NA
Guilford County,North Carolina,421048,488406,526953,3.98,16.7,62.9,27.1,4.82,yes,some_college,28504.02,49253,none
Halifax County,North Carolina,57370,54691,51310,-3.58,26.8,64,9.2,7.38,no,hs_diploma,20399.58,33573,none
Harnett County,North Carolina,91025,114678,132754,6.11,18,67.4,8.1,5.15,no,some_college,21959.79,50323,none
Haywood County,North Carolina,54033,59036,61084,3.56,16.6,75.2,6.7,4.09,yes,some_college,26748.23,45538,none
Henderson County,North Carolina,89173,106740,115708,6.18,11.8,76.8,9.3,3.86,yes,some_college,27975,50454,none
Hertford County,North Carolina,22601,24669,23906,-2.45,23.3,65.9,9.8,5.82,no,hs_diploma,19735.27,35806,none
Hoke County,North Carolina,33646,46952,54116,5.71,21.9,72.4,5.2,5.79,yes,some_college,18918.37,45713,none
Hyde County,North Carolina,5826,5810,5363,-5.16,20.3,82.6,5.5,8.53,no,hs_diploma,20158.94,40532,none
Iredell County,North Carolina,122660,159437,175711,6.73,12.7,74.7,11,4.25,yes,some_college,29667.67,55957,none
Jackson County,North Carolina,33121,40271,42973,4.67,21.6,66.3,10.5,4.84,no,some_college,24230.64,45078,NA
Johnston County,North Carolina,121965,168878,196708,10.87,14.5,73.2,6.6,4.17,yes,some_college,24248.23,54610,none
Jones County,North Carolina,10381,10153,9597,-4.07,26.4,72.1,3.2,4.49,yes,some_college,20900,37256,none
Lee County,North Carolina,49040,57866,60430,0.93,17.5,70.4,14.8,5.15,no,some_college,22977.86,49272,none
Lenoir County,North Carolina,59648,59495,56883,-3.31,22.3,62.3,14.9,4.56,no,hs_diploma,21650.62,37515,none
Lincoln County,North Carolina,63780,78265,82403,4.16,15.2,76.2,8.4,4.03,yes,some_college,27145.88,50782,partial
McDowell County,North Carolina,42151,44996,45159,0.2,19.3,72.6,7,4.15,no,hs_diploma,20661.07,38776,partial
Macon County,North Carolina,29811,33922,34732,2.85,17.7,76.8,6.9,4.72,no,some_college,27602.75,40659,none
Madison County,North Carolina,19635,20764,21746,2.72,17.8,76.8,5.9,4.35,yes,some_college,22874.79,40563,NA
